"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"2","2.040959","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"3","3.754637","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"4","5.490056","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"5","7.582496","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"6","9.779217","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"7","11.285352","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"8","15.874413","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"9","18.419123","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"10","20.801302","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"11","20.802341","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"12","23.945947","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"13","26.387327","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"14","29.050704","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"15","31.067379","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"16","32.401921","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"17","35.525077","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"18","36.596410","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"19","39.829587","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"20","40.027924","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"21","42.638198","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"22","45.711423","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"23","48.226656","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"24","50.242487","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"25","51.330624","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"26","52.201341","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"27","54.112120","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"28","55.166861","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"29","56.871263","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"30","60.141275","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"31","62.493891","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"32","65.470274","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"33","68.569334","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"34","71.193880","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"35","73.966903","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"36","76.256041","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"37","78.308788","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"38","79.617446","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"39","80.953338","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"40","84.803198","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"41","85.452091","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"42","87.967803","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"43","89.860466","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"44","92.049616","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"45","93.897212","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"46","96.348858","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"47","99.258988","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"48","102.059377","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"49","104.627763","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"50","107.212591","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"51","108.814439","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"52","110.401500","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"53","112.329531","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"54","114.660414","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"55","115.339709","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"56","117.381089","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"57","119.447500","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"58","121.643301","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"59","125.360429","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"60","127.058213","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"61","129.474580","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"62","130.029678","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"63","133.130190","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"64","134.252314","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"65","136.028170","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"66","136.776843","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"67","137.582151","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"68","138.516353","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"69","139.150736","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"70","141.579339","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"71","142.019334","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"72","143.649098","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"73","144.581131","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"74","145.704900","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"75","145.888390","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"76","148.468681","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"77","150.395532","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"78","152.451892","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"79","153.487919","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"80","156.396118","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
"81","158.660380","127.0.0.1","127.0.0.1","UDP","56","53180  >  13337 Len=24"
